name_en,country_en,nominatim_query,name,alpha-2,population
Szeged,Hungary,Szeged,Szeged,HU,159666
Tampere,Finland,Tampere,Tampere,FI,241009
Taranto,Italy,Taranto,Taranto,IT,190089
Tarnów,Poland,Tarnów,Tarnów,PL,105101
Tarragona,Spain,Tarragona,Tarragona,ES,136150
Telde,Spain,Telde,Telde,ES,103175
Terni,Italy,Terni,Terni,IT,107574
Ternopil,Ukraine,Ternopil,Ternopil,UA,223522
Terrassa,Spain,Terrassa,Terrassa,ES,222576
The Hague,Netherlands,The Hague,S-Gravenhage,NL,514861
Thessaloniki,Greece,Thessaloniki,Thessaloniki,GR,315196
Tilburg,Netherlands,Tilburg,Tilburg,NL,211648
Torrejón De Ardoz,Spain,Torrejón De Ardoz,Torrejón De Ardoz,ES,133377
Torun,Poland,Torun,Torun,PL,198628
Toulon,France,Toulon,Toulon,FR,167479
Toulouse,France,Toulouse,Toulouse,FR,471941
Tours,France,Tours,Tours,FR,136252
Trento,Italy,Trento,Trento,IT,118363
Trier,Germany,Trier,Trier,DE,110636
Trieste,Italy,Trieste,Trieste,IT,199812
Turin,Italy,Turin,Torino,IT,853477
Turku,Finland,Turku,Turku,FI,194391
Tychy,Poland,Tychy,Tychy,PL,125892
Ulm,Germany,Ulm,Ulm,DE,126329
Umeå,Sweden,Umeå,Umeå,SE,111503
Uppsala,Sweden,Uppsala,Uppsala,SE,186364
Utrecht,Netherlands,Utrecht,Utrecht,NL,334176
Uzhhorod,Ukraine,Uzhhorod,Uzhhorod,UA,113889
Valencia,Spain,Valencia,València,ES,788842
Valladolid,Spain,Valladolid,Valladolid,ES,297370
Vantaa,Finland,Vantaa,Vantaa,FI,237231
Varna,Bulgaria,Varna,Varna,BG,332394
Vejle,Denmark,Vejle,Vejle,DK,118028
Venice,Italy,Venice,Venezia,IT,254014
Venlo,Netherlands,Venlo,Venlo,NL,100536
Verona,Italy,Verona,Verona,IT,257008
Vicenza,Italy,Vicenza,Vicenza,IT,110703
Vigo,Spain,Vigo,Vigo,ES,294650
Vila Nova De Gaia,Portugal,Vila Nova De Gaia,Vila Nova De Gaia,PT,188421
Villeurbanne,France,Villeurbanne,Villeurbanne,FR,148665
Vinnytsia,Ukraine,Vinnytsia,Vinnitsa,UA,367901
Vitebsk,Belarus,Vitebsk,Vitebsk,BY,364862
Vitoria-Gasteiz,Spain,Vitoria-Gasteiz,Vitoria-Gasteiz,ES,252953
Västerås,Sweden,Västerås,Västerås,SE,133324
Walbrzych,Poland,Walbrzych,Walbrzych,PL,109252
Westland,Netherlands,Westland,Westland,NL,104302
